order_id,customer_id,category,order_value,discount_pct,payment_method,prior_orders,prior_returns,prior_return_ratio,category_return_rate,days_since_last_order,order_freq_30d,returned
100118,1892,Apparel - Mens,1320.72,1.7,COD,9,3,0.333,0.19,43,3,0
100119,992,Furniture,12616.96,10.5,Debit Card,14,2,0.143,0.11,22,0,0
100120,1071,Home & Kitchen,2286.28,6.4,UPI,10,1,0.1,0.07,21,2,0
100121,388,Apparel - Mens,2728.29,2.5,UPI,13,5,0.385,0.19,17,0,0
100122,1037,Furniture,10403.55,11.0,COD,12,3,0.25,0.11,3,1,0
100123,1559,Footwear,2178.82,11.1,COD,10,2,0.2,0.24,12,3,1
100124,1318,Furniture,4369.36,15.1,COD,13,0,0.0,0.11,22,4,0
100125,628,Apparel - Womens,1561.07,11.8,COD,10,2,0.2,0.28,28,1,0
100126,1156,Apparel - Womens,2084.84,24.1,UPI,9,2,0.222,0.28,23,2,0
100127,2053,Beauty,857.11,17.2,UPI,14,3,0.214,0.05,102,1,0
100128,1087,Mobile Accessories,1036.47,13.6,Debit Card,14,5,0.357,0.06,32,1,1
100129,1251,Electronics,6321.44,6.9,Credit Card,15,1,0.067,0.09,12,3,0
100130,1119,Electronics,5783.23,22.0,UPI,18,1,0.056,0.09,0,4,0
100131,31,Beauty,662.28,10.9,Netbanking,8,1,0.125,0.05,139,0,0
100132,115,Home & Kitchen,2896.99,20.2,Credit Card,8,2,0.25,0.07,98,3,0
100133,106,Apparel - Womens,1745.42,15.2,COD,13,3,0.231,0.28,30,1,0
100134,595,Apparel - Womens,1669.98,5.9,UPI,15,0,0.0,0.28,59,0,1
100135,176,Apparel - Mens,2570.75,10.0,Credit Card,11,0,0.0,0.19,47,0,0
100136,1978,Apparel - Womens,2589.11,17.2,Debit Card,16,2,0.125,0.28,9,0,0
100137,227,Apparel - Womens,1787.42,15.9,COD,18,3,0.167,0.28,6,1,1
100138,815,Furniture,11346.53,19.1,Debit Card,14,2,0.143,0.11,5,0,0
100139,1540,Beauty,763.92,25.1,UPI,7,1,0.143,0.05,90,3,0
100140,159,Mobile Accessories,411.14,10.5,Credit Card,15,3,0.2,0.06,27,1,0
100141,741,Home & Kitchen,3311.67,15.7,COD,10,1,0.1,0.07,29,0,0
100142,1257,Home & Kitchen,3069.23,23.9,UPI,12,3,0.25,0.07,73,0,0
100143,99,Apparel - Womens,1892.77,5.8,UPI,9,4,0.444,0.28,16,1,0
100144,1480,Mobile Accessories,745.08,28.6,Credit Card,9,2,0.222,0.06,10,2,0
100145,1186,Home & Kitchen,3358.87,8.5,Credit Card,9,5,0.556,0.07,9,0,1
100146,722,Beauty,900.45,6.2,UPI,10,1,0.1,0.05,6,0,0
100147,1059,Electronics,10056.6,2.6,UPI,11,0,0.0,0.09,150,1,0
100148,1482,Furniture,6559.21,4.7,UPI,9,0,0.0,0.11,9,1,0
100149,957,Mobile Accessories,326.88,37.2,COD,13,2,0.154,0.06,6,3,0
100150,1073,Electronics,6207.29,23.2,COD,12,5,0.417,0.09,22,1,0
100151,1169,Mobile Accessories,1007.96,5.4,UPI,9,1,0.111,0.06,2,3,0
100152,133,Mobile Accessories,150.0,2.7,COD,15,3,0.2,0.06,89,2,1
100153,1545,Apparel - Womens,2061.01,9.6,UPI,21,8,0.381,0.28,40,0,0
100154,683,Electronics,12740.21,15.1,UPI,11,1,0.091,0.09,63,1,1
100155,1902,Apparel - Womens,1406.28,0.1,UPI,13,1,0.077,0.28,23,0,0
100156,1495,Footwear,2324.45,1.0,UPI,17,5,0.294,0.24,16,3,1
100157,14,Beauty,1425.13,27.8,Credit Card,10,0,0.0,0.05,8,1,0
100158,881,Beauty,510.3,5.7,Credit Card,13,2,0.154,0.05,2,2,0
100159,486,Beauty,800.34,10.4,Debit Card,12,0,0.0,0.05,13,0,0
100160,671,Home & Kitchen,1821.51,8.6,Credit Card,11,0,0.0,0.07,7,1,0
100161,1972,Mobile Accessories,1265.07,4.8,UPI,10,2,0.2,0.06,44,1,0
100162,608,Mobile Accessories,1404.99,3.3,UPI,11,3,0.273,0.06,26,0,0
100163,1174,Beauty,829.63,3.5,Credit Card,18,6,0.333,0.05,0,1,0
100164,454,Electronics,7091.46,26.0,UPI,12,0,0.0,0.09,2,2,0
100165,926,Home & Kitchen,1262.29,5.0,COD,12,2,0.167,0.07,17,1,0
100166,394,Mobile Accessories,840.84,8.9,COD,16,5,0.312,0.06,6,2,0
100167,138,Mobile Accessories,968.05,12.3,Credit Card,11,1,0.091,0.06,26,1,0
100168,649,Apparel - Mens,2463.38,15.8,Debit Card,17,2,0.118,0.19,85,0,1
100169,283,Apparel - Womens,1408.71,2.4,UPI,9,2,0.222,0.28,3,1,0
100170,1933,Footwear,1255.58,15.4,UPI,14,4,0.286,0.24,1,1,1
100171,1627,Furniture,13286.7,13.1,UPI,13,1,0.077,0.11,0,3,0
100172,2133,Electronics,8680.77,18.0,Debit Card,16,0,0.0,0.09,10,1,0
100173,1310,Beauty,1467.6,4.2,UPI,12,3,0.25,0.05,2,0,0
100174,1346,Apparel - Mens,2029.25,15.9,Credit Card,13,0,0.0,0.19,36,0,0
100175,1569,Electronics,7567.55,23.0,UPI,11,1,0.091,0.09,52,1,0
100176,2012,Beauty,930.03,28.4,UPI,11,3,0.273,0.05,26,2,0
100177,1717,Apparel - Womens,2579.81,4.5,Credit Card,7,1,0.143,0.28,6,1,0
100178,2192,Apparel - Womens,1726.7,1.8,COD,7,1,0.143,0.28,5,1,0
100179,2000,Electronics,11752.77,7.4,UPI,16,2,0.125,0.09,12,1,0
100180,1567,Apparel - Mens,1230.16,18.7,UPI,16,2,0.125,0.19,61,1,0
100181,956,Apparel - Womens,673.97,21.2,Credit Card,7,1,0.143,0.28,109,1,0
100182,2063,Home & Kitchen,2044.4,7.4,COD,5,0,0.0,0.07,143,0,0
100183,1475,Home & Kitchen,2952.06,8.8,UPI,8,0,0.0,0.07,60,2,0
100184,1453,Beauty,1114.45,13.3,COD,6,1,0.167,0.05,0,1,0
100185,1251,Furniture,4109.47,2.9,COD,15,1,0.067,0.11,7,3,0
100186,1058,Electronics,3976.73,5.2,UPI,13,3,0.231,0.09,31,0,0
100187,2061,Furniture,7531.36,11.1,Credit Card,21,2,0.095,0.11,0,1,0
100188,1873,Furniture,4585.74,19.8,UPI,13,3,0.231,0.11,11,1,1
100189,709,Furniture,10881.8,7.5,Credit Card,13,6,0.462,0.11,11,0,0
100190,768,Beauty,936.63,21.1,COD,10,3,0.3,0.05,17,2,0
100191,1522,Mobile Accessories,739.21,12.6,UPI,12,1,0.083,0.06,2,2,0
100192,33,Beauty,1603.82,2.7,UPI,15,0,0.0,0.05,6,1,0
100193,151,Footwear,2237.5,11.7,Netbanking,11,3,0.273,0.24,68,2,0
100194,1164,Furniture,9322.96,26.0,Debit Card,15,2,0.133,0.11,8,0,0
100195,1812,Mobile Accessories,615.65,4.1,Debit Card,18,3,0.167,0.06,23,0,0
100196,629,Electronics,5849.91,2.5,Debit Card,13,0,0.0,0.09,41,1,1
100197,2179,Furniture,9627.15,24.4,Credit Card,14,3,0.214,0.11,18,1,0
100198,679,Beauty,347.33,7.8,COD,13,0,0.0,0.05,35,1,0
100199,891,Mobile Accessories,362.77,39.8,Credit Card,15,5,0.333,0.06,103,1,0
100200,1724,Mobile Accessories,895.77,11.3,Debit Card,14,3,0.214,0.06,22,2,0
100201,1952,Apparel - Womens,150.0,10.0,Debit Card,16,3,0.188,0.28,151,2,0
100202,1943,Apparel - Womens,1802.23,13.9,UPI,12,0,0.0,0.28,18,2,0
100203,1448,Furniture,7695.79,25.1,UPI,17,1,0.059,0.11,0,4,0
100204,135,Beauty,1204.47,1.5,COD,9,1,0.111,0.05,22,0,0
100205,1061,Footwear,3161.89,11.5,COD,8,1,0.125,0.24,19,2,0
100206,1251,Apparel - Mens,2235.13,28.4,Debit Card,15,1,0.067,0.19,180,0,0
100207,642,Furniture,6264.45,3.5,Debit Card,12,5,0.417,0.11,89,1,0
100208,952,Electronics,9531.84,3.3,COD,10,0,0.0,0.09,44,3,1
100209,1700,Furniture,9679.46,13.2,UPI,11,1,0.091,0.11,30,1,0
100210,750,Electronics,6494.67,19.2,Credit Card,15,1,0.067,0.09,17,1,0
100211,1864,Apparel - Mens,3566.94,2.0,COD,14,7,0.5,0.19,72,0,0
100212,600,Electronics,4419.31,2.9,Credit Card,14,0,0.0,0.09,32,1,0
100213,1735,Apparel - Womens,1323.11,19.8,COD,12,2,0.167,0.28,17,0,1
100214,2195,Apparel - Womens,2051.11,11.4,UPI,9,4,0.444,0.28,32,1,1
100215,683,Beauty,150.0,14.0,UPI,11,1,0.091,0.05,19,2,0
100216,1416,Furniture,14159.68,3.0,COD,19,4,0.211,0.11,26,2,0
100217,2119,Home & Kitchen,2711.39,7.3,UPI,10,0,0.0,0.07,15,2,0
100218,559,Footwear,2050.34,13.9,Credit Card,11,2,0.182,0.24,2,1,0
100219,1414,Furniture,9949.8,16.4,Credit Card,11,3,0.273,0.11,4,4,1
100220,1139,Beauty,712.3,2.1,Credit Card,10,1,0.1,0.05,34,0,0
100221,648,Apparel - Mens,1598.3,5.5,COD,12,2,0.167,0.19,23,1,1
100222,1516,Mobile Accessories,684.16,9.5,Netbanking,10,0,0.0,0.06,88,1,0
100223,1771,Home & Kitchen,3055.39,12.2,UPI,15,0,0.0,0.07,9,2,0
100224,1232,Furniture,13002.97,11.8,Credit Card,14,5,0.357,0.11,27,1,1
100225,282,Mobile Accessories,510.65,1.4,Credit Card,14,1,0.071,0.06,11,2,0
100226,1299,Beauty,755.47,9.3,Debit Card,16,6,0.375,0.05,26,1,0
100227,1716,Electronics,5978.13,20.4,Credit Card,11,1,0.091,0.09,142,0,0
100228,186,Furniture,1228.08,12.2,Credit Card,12,4,0.333,0.11,5,1,0
100229,1162,Apparel - Mens,1354.24,0.3,COD,11,0,0.0,0.19,5,2,0
100230,1143,Beauty,794.2,1.0,Debit Card,12,3,0.25,0.05,67,1,0
100231,1747,Electronics,3176.45,17.3,COD,16,2,0.125,0.09,28,1,0
100232,641,Furniture,2273.39,27.3,Netbanking,7,2,0.286,0.11,87,2,0
100233,1602,Beauty,610.48,7.6,Credit Card,15,0,0.0,0.05,14,2,1
100234,544,Footwear,1306.16,15.7,Credit Card,13,7,0.538,0.24,72,3,0
100235,1973,Apparel - Womens,482.52,10.1,Credit Card,10,5,0.5,0.28,36,2,0
100236,2,Beauty,807.89,15.2,COD,11,2,0.182,0.05,33,1,0
100237,1063,Home & Kitchen,2897.57,4.3,COD,12,2,0.167,0.07,5,0,0
100238,793,Apparel - Mens,847.36,10.4,UPI,9,0,0.0,0.19,28,0,0
100239,647,Apparel - Womens,1401.88,7.6,Credit Card,14,5,0.357,0.28,53,1,0
100240,716,Footwear,2217.49,7.3,Credit Card,12,2,0.167,0.24,24,0,0
100241,1108,Apparel - Womens,1762.64,12.0,UPI,12,2,0.167,0.28,1,3,0
100242,770,Home & Kitchen,1487.88,9.4,Debit Card,16,0,0.0,0.07,160,2,0
100243,1364,Footwear,5428.16,12.8,UPI,13,0,0.0,0.24,25,1,0
100244,1379,Furniture,4792.67,6.3,COD,10,1,0.1,0.11,108,1,0
100245,1394,Furniture,7507.88,4.3,Debit Card,8,2,0.25,0.11,23,2,1
100246,1567,Footwear,2966.32,18.5,UPI,16,2,0.125,0.24,66,0,0
100247,24,Home & Kitchen,925.17,2.6,UPI,12,2,0.167,0.07,31,1,0
100248,1786,Home & Kitchen,3136.67,13.6,Credit Card,18,8,0.444,0.07,159,1,0
100249,1577,Furniture,1007.17,11.6,UPI,7,3,0.429,0.11,0,2,1
100250,565,Home & Kitchen,1338.0,2.6,COD,11,3,0.273,0.07,19,0,0
100251,2112,Mobile Accessories,776.55,6.8,Debit Card,11,2,0.182,0.06,30,0,0
100252,179,Mobile Accessories,517.43,13.9,Debit Card,11,0,0.0,0.06,29,0,0
100253,1531,Furniture,9789.54,28.5,COD,11,0,0.0,0.11,14,2,0
100254,34,Mobile Accessories,619.54,24.7,Debit Card,13,1,0.077,0.06,4,1,0
100255,583,Furniture,12385.26,24.1,UPI,8,2,0.25,0.11,30,0,1
100256,726,Furniture,7814.11,2.0,Credit Card,10,3,0.3,0.11,26,1,0
100257,1480,Apparel - Mens,2063.89,0.5,UPI,9,2,0.222,0.19,32,0,0
100258,1845,Home & Kitchen,1892.17,10.4,Debit Card,11,4,0.364,0.07,12,0,1
100259,1141,Mobile Accessories,640.73,19.6,COD,18,3,0.167,0.06,15,1,0
100260,372,Home & Kitchen,3102.28,18.3,Netbanking,12,3,0.25,0.07,18,3,1
100261,76,Apparel - Womens,1692.65,8.5,UPI,9,2,0.222,0.28,100,0,0
100262,1498,Apparel - Mens,2323.2,0.7,Netbanking,13,1,0.077,0.19,9,2,0
100263,932,Furniture,15079.78,12.6,Credit Card,6,0,0.0,0.11,4,0,0
100264,1711,Electronics,4639.44,6.5,UPI,13,1,0.077,0.09,52,1,0
100265,1435,Electronics,3605.62,33.4,Credit Card,9,0,0.0,0.09,89,0,0
100266,2023,Mobile Accessories,585.33,12.9,Credit Card,11,4,0.364,0.06,2,2,0
100267,1676,Apparel - Mens,1097.75,20.8,UPI,11,5,0.455,0.19,40,0,0
100268,835,Footwear,150.0,17.6,UPI,19,0,0.0,0.24,8,1,0
100269,695,Footwear,3979.77,5.6,COD,14,5,0.357,0.24,34,3,0
100270,846,Beauty,691.45,10.9,UPI,13,6,0.462,0.05,34,4,0
100271,1127,Beauty,1347.82,4.1,COD,15,0,0.0,0.05,68,3,0
100272,742,Footwear,3189.52,16.4,UPI,13,0,0.0,0.24,37,1,0
100273,405,Beauty,263.16,15.6,COD,11,2,0.182,0.05,10,0,0
100274,2134,Mobile Accessories,627.52,7.6,Credit Card,8,2,0.25,0.06,34,2,0
100275,1029,Home & Kitchen,2912.99,5.5,Debit Card,15,1,0.067,0.07,0,1,0
100276,1185,Electronics,5384.6,19.9,Credit Card,12,1,0.083,0.09,42,1,0
100277,590,Apparel - Mens,828.24,6.9,Credit Card,9,0,0.0,0.19,51,1,0
100278,1883,Electronics,2477.81,10.5,UPI,13,5,0.385,0.09,29,2,0
100279,1232,Furniture,3669.38,4.2,UPI,14,5,0.357,0.11,31,0,0
100280,1600,Apparel - Mens,1437.01,7.7,Credit Card,13,3,0.231,0.19,7,0,1
100281,2071,Mobile Accessories,886.75,3.6,UPI,11,0,0.0,0.06,32,3,0
100282,1263,Beauty,1378.04,13.4,UPI,13,2,0.154,0.05,63,1,0
100283,763,Electronics,10505.8,4.3,UPI,12,0,0.0,0.09,23,1,0
100284,1249,Beauty,858.9,22.7,UPI,10,2,0.2,0.05,67,2,0
100285,805,Apparel - Mens,2045.04,1.5,COD,13,1,0.077,0.19,63,0,0
100286,343,Footwear,1632.56,7.0,UPI,15,4,0.267,0.24,26,0,0
100287,1713,Electronics,6720.22,14.2,Credit Card,13,2,0.154,0.09,13,0,1
100288,608,Beauty,1015.04,23.3,UPI,11,3,0.273,0.05,0,1,0
100289,1751,Electronics,5684.78,24.4,UPI,16,2,0.125,0.09,40,1,0
100290,514,Footwear,2078.95,5.6,UPI,14,2,0.143,0.24,2,0,0
100291,125,Home & Kitchen,1942.2,26.0,Credit Card,13,1,0.077,0.07,6,3,0
100292,703,Home & Kitchen,2649.14,20.7,Netbanking,11,5,0.455,0.07,53,1,1
100293,2103,Electronics,3494.38,14.6,Netbanking,11,4,0.364,0.09,9,2,1
100294,314,Home & Kitchen,2948.06,20.2,COD,8,0,0.0,0.07,2,0,0
100295,204,Furniture,12883.36,19.0,Credit Card,9,0,0.0,0.11,50,1,0
100296,1854,Furniture,14153.13,4.3,Credit Card,16,0,0.0,0.11,28,2,0
100297,945,Apparel - Womens,809.18,6.1,UPI,13,1,0.077,0.28,25,2,0
100298,1024,Footwear,2251.75,3.0,Credit Card,14,2,0.143,0.24,17,3,0
100299,1565,Furniture,9873.84,9.0,Netbanking,9,0,0.0,0.11,12,2,0
100300,47,Electronics,4961.43,21.8,Credit Card,8,1,0.125,0.09,13,1,0
100301,1416,Furniture,12463.09,10.3,Credit Card,19,4,0.211,0.11,22,2,1
100302,627,Home & Kitchen,2830.18,5.5,Credit Card,9,2,0.222,0.07,95,0,0
100303,1698,Footwear,3515.01,3.0,COD,15,3,0.2,0.24,6,3,0
100304,119,Beauty,1082.87,4.5,UPI,9,1,0.111,0.05,6,2,0
100305,1401,Apparel - Mens,1360.21,4.9,COD,12,4,0.333,0.19,8,2,1
100306,2119,Mobile Accessories,1030.8,14.8,COD,10,0,0.0,0.06,2,0,0
100307,1551,Furniture,3731.42,34.3,UPI,17,1,0.059,0.11,82,0,0
100308,1284,Mobile Accessories,231.56,14.0,Credit Card,11,5,0.455,0.06,34,3,0
100309,307,Furniture,7383.3,2.3,UPI,11,3,0.273,0.11,10,2,0
100310,615,Mobile Accessories,644.78,4.4,Credit Card,12,4,0.333,0.06,2,1,0
100311,379,Footwear,2376.09,8.8,UPI,12,4,0.333,0.24,42,0,0
100312,2091,Apparel - Womens,1063.01,25.7,COD,13,4,0.308,0.28,14,1,0
100313,51,Home & Kitchen,2386.38,14.5,Credit Card,12,4,0.333,0.07,31,1,1
100314,1805,Home & Kitchen,1914.63,10.7,UPI,19,2,0.105,0.07,37,0,0
